id_sucursal,nombre_suc
5,ECA
10,TOL
10,TOL
10,TOL
4,QRO
10,TOL
1,CDMX
10,TOL
10,TOL
10,TOL
10,TOL
8,JAL
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
8,JAL
6,PUE
1,CDMX
6,PUE
4,QRO
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
8,JAL
1,CDMX
8,JAL
8,JAL
12,GTO
12,GTO
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
11,TIJ
11,TIJ
11,TIJ
11,TIJ
15,SLP
11,TIJ
11,TIJ
11,TIJ
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
14,TAB
14,TAB
13,OAX
13,OAX
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
11,TIJ
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
16,BCS
16,BCS
16,BCS
1,CDMX
8,JAL
5,ECA
1,CDMX
5,ECA
1,CDMX
1,CDMX
1,CDMX
8,JAL
1,CDMX
1,CDMX
1,CDMX
2,VER
2,VER
2,VER
3,LEON
3,LEON
3,LEON
3,LEON
4,QRO
4,QRO
4,QRO
4,QRO
8,JAL
4,QRO
1,CDMX
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
16,BCS
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
16,BCS
5,ECA
5,ECA
10,TOL
13,OAX
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
10,TOL
4,QRO
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
4,QRO
4,QRO
1,CDMX
1,CDMX
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
9,GDL
15,SLP
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
15,SLP
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
14,TAB
14,TAB
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
8,JAL
1,CDMX
1,CDMX
1,CDMX
1,CDMX
16,BCS
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
8,JAL
16,BCS
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
2,VER
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
8,JAL
8,JAL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
8,JAL
4,QRO
4,QRO
10,TOL
1,CDMX
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
8,JAL
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
1,CDMX
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
10,TOL
10,TOL
4,QRO
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
1,CDMX
6,PUE
6,PUE
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
3,LEON
7,AGS
7,AGS
7,AGS
13,OAX
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
4,QRO
8,JAL
8,JAL
9,GDL
9,GDL
12,GTO
12,GTO
12,GTO
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
10,TOL
4,QRO
10,TOL
10,TOL
10,TOL
5,ECA
9,GDL
9,GDL
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
6,PUE
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
17,BCN
11,TIJ
11,TIJ
15,SLP
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
11,TIJ
15,SLP
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
14,TAB
14,TAB
14,TAB
14,TAB
14,TAB
14,TAB
14,TAB
9,GDL
13,OAX
13,OAX
15,SLP
11,TIJ
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
11,TIJ
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
1,CDMX
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
16,BCS
12,GTO
1,CDMX
16,BCS
16,BCS
1,CDMX
4,QRO
1,CDMX
1,CDMX
16,BCS
7,AGS
12,GTO
1,CDMX
1,CDMX
1,CDMX
1,CDMX
6,PUE
1,CDMX
1,CDMX
16,BCS
1,CDMX
8,JAL
1,CDMX
1,CDMX
1,CDMX
1,CDMX
5,ECA
2,VER
2,VER
3,LEON
3,LEON
3,LEON
3,LEON
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
10,TOL
4,QRO
6,PUE
1,CDMX
6,PUE
6,PUE
6,PUE
16,BCS
7,AGS
4,QRO
1,CDMX
8,JAL
1,CDMX
9,GDL
10,TOL
10,TOL
10,TOL
10,TOL
4,QRO
17,BCN
17,BCN
17,BCN
11,TIJ
15,SLP
11,TIJ
11,TIJ
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
4,QRO
14,TAB
14,TAB
14,TAB
14,TAB
5,ECA
11,TIJ
11,TIJ
15,SLP
15,SLP
15,SLP
15,SLP
16,BCS
16,BCS
16,BCS
16,BCS
4,QRO
6,PUE
1,CDMX
4,QRO
1,CDMX
7,AGS
7,AGS
1,CDMX
1,CDMX
4,QRO
4,QRO
8,JAL
1,CDMX
1,CDMX
1,CDMX
6,PUE
4,QRO
1,CDMX
5,ECA
16,BCS
5,ECA
6,PUE
6,PUE
13,OAX
5,ECA
1,CDMX
1,CDMX
4,QRO
1,CDMX
4,QRO
4,QRO
4,QRO
1,CDMX
4,QRO
10,TOL
1,CDMX
4,QRO
1,CDMX
6,PUE
1,CDMX
10,TOL
3,LEON
13,OAX
7,AGS
6,PUE
7,AGS
1,CDMX
16,BCS
1,CDMX
6,PUE
1,CDMX
1,CDMX
1,CDMX
10,TOL
1,CDMX
16,BCS
1,CDMX
7,AGS
3,LEON
10,TOL
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
10,TOL
4,QRO
1,CDMX
16,BCS
1,CDMX
1,CDMX
1,CDMX
7,AGS
16,BCS
8,JAL
7,AGS
10,TOL
1,CDMX
1,CDMX
1,CDMX
16,BCS
4,QRO
1,CDMX
5,ECA
2,VER
4,QRO
4,QRO
4,QRO
8,JAL
4,QRO
7,AGS
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
4,QRO
1,CDMX
6,PUE
7,AGS
4,QRO
10,TOL
4,QRO
10,TOL
1,CDMX
7,AGS
1,CDMX
1,CDMX
16,BCS
1,CDMX
16,BCS
6,PUE
2,VER
1,CDMX
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
1,CDMX
10,TOL
16,BCS
10,TOL
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
6,PUE
16,BCS
6,PUE
6,PUE
1,CDMX
1,CDMX
4,QRO
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
16,BCS
7,AGS
16,BCS
1,CDMX
8,JAL
4,QRO
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
10,TOL
4,QRO
6,PUE
6,PUE
6,PUE
16,BCS
4,QRO
4,QRO
1,CDMX
16,BCS
16,BCS
1,CDMX
4,QRO
10,TOL
1,CDMX
16,BCS
4,QRO
7,AGS
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
8,JAL
1,CDMX
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
12,GTO
6,PUE
6,PUE
11,TIJ
11,TIJ
13,OAX
6,PUE
16,BCS
4,QRO
1,CDMX
1,CDMX
1,CDMX
16,BCS
1,CDMX
4,QRO
13,OAX
16,BCS
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
2,VER
7,AGS
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
7,AGS
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
5,ECA
5,ECA
5,ECA
5,ECA
10,TOL
10,TOL
4,QRO
6,PUE
6,PUE
6,PUE
6,PUE
11,TIJ
11,TIJ
11,TIJ
11,TIJ
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
10,TOL
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
4,QRO
16,BCS
5,ECA
1,CDMX
8,JAL
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
3,LEON
3,LEON
3,LEON
8,JAL
4,QRO
8,JAL
1,CDMX
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
10,TOL
10,TOL
8,JAL
8,JAL
4,QRO
16,BCS
1,CDMX
5,ECA
5,ECA
10,TOL
10,TOL
1,CDMX
6,PUE
7,AGS
1,CDMX
6,PUE
15,SLP
15,SLP
8,JAL
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
14,TAB
14,TAB
4,QRO
4,QRO
5,ECA
6,PUE
16,BCS
8,JAL
8,JAL
7,AGS
1,CDMX
7,AGS
7,AGS
1,CDMX
5,ECA
1,CDMX
7,AGS
1,CDMX
8,JAL
1,CDMX
3,LEON
3,LEON
3,LEON
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
6,PUE
8,JAL
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
13,OAX
10,TOL
16,BCS
10,TOL
4,QRO
6,PUE
6,PUE
16,BCS
11,TIJ
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
15,SLP
10,TOL
1,CDMX
1,CDMX
1,CDMX
1,CDMX
8,JAL
1,CDMX
1,CDMX
16,BCS
2,VER
2,VER
3,LEON
4,QRO
4,QRO
6,PUE
8,JAL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
5,ECA
5,ECA
10,TOL
16,BCS
11,TIJ
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
15,SLP
16,BCS
16,BCS
15,SLP
16,BCS
16,BCS
7,AGS
1,CDMX
1,CDMX
10,TOL
1,CDMX
16,BCS
10,TOL
4,QRO
1,CDMX
7,AGS
1,CDMX
1,CDMX
16,BCS
1,CDMX
7,AGS
2,VER
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
4,QRO
4,QRO
4,QRO
8,JAL
4,QRO
10,TOL
4,QRO
4,QRO
8,JAL
8,JAL
4,QRO
4,QRO
4,QRO
8,JAL
4,QRO
4,QRO
4,QRO
4,QRO
5,ECA
5,ECA
5,ECA
1,CDMX
10,TOL
4,QRO
13,OAX
13,OAX
6,PUE
7,AGS
1,CDMX
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
6,PUE
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
5,ECA
7,AGS
7,AGS
11,TIJ
11,TIJ
11,TIJ
17,BCN
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
14,TAB
15,SLP
16,BCS
16,BCS
1,CDMX
1,CDMX
1,CDMX
8,JAL
1,CDMX
7,AGS
5,ECA
6,PUE
8,JAL
4,QRO
1,CDMX
1,CDMX
1,CDMX
1,CDMX
3,LEON
3,LEON
4,QRO
10,TOL
4,QRO
10,TOL
4,QRO
10,TOL
4,QRO
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
5,ECA
8,JAL
10,TOL
5,ECA
8,JAL
4,QRO
4,QRO
6,PUE
4,QRO
5,ECA
6,PUE
6,PUE
8,JAL
8,JAL
16,BCS
6,PUE
10,TOL
4,QRO
10,TOL
4,QRO
10,TOL
13,OAX
6,PUE
8,JAL
6,PUE
6,PUE
7,AGS
7,AGS
7,AGS
7,AGS
11,TIJ
11,TIJ
11,TIJ
15,SLP
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
13,OAX
13,OAX
13,OAX
15,SLP
11,TIJ
15,SLP
15,SLP
6,PUE
16,BCS
16,BCS
16,BCS
16,BCS
1,CDMX
8,JAL
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
8,JAL
1,CDMX
4,QRO
1,CDMX
2,VER
3,LEON
3,LEON
3,LEON
3,LEON
3,LEON
1,CDMX
4,QRO
10,TOL
4,QRO
4,QRO
10,TOL
4,QRO
4,QRO
8,JAL
4,QRO
4,QRO
4,QRO
4,QRO
10,TOL
4,QRO
10,TOL
4,QRO
4,QRO
4,QRO
4,QRO
1,CDMX
5,ECA
5,ECA
8,JAL
5,ECA
5,ECA
5,ECA
5,ECA
5,ECA
10,TOL
4,QRO
10,TOL
10,TOL
10,TOL
10,TOL
4,QRO
6,PUE
6,PUE
6,PUE
1,CDMX
6,PUE
6,PUE
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
7,AGS
4,QRO
7,AGS
7,AGS
7,AGS
7,AGS
8,JAL
8,JAL
8,JAL
4,QRO
8,JAL
8,JAL
4,QRO
8,JAL
8,JAL
8,JAL
1,CDMX
10,TOL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
8,JAL
7,AGS
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
9,GDL
11,TIJ
11,TIJ
11,TIJ
11,TIJ
15,SLP
11,TIJ
11,TIJ
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
12,GTO
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
13,OAX
14,TAB
14,TAB
11,TIJ
15,SLP
11,TIJ
15,SLP
15,SLP
15,SLP
1,CDMX
16,BCS
16,BCS
16,BCS
16,BCS
1,CDMX
1,CDMX
1,CDMX
1,CDMX
1,CDMX
6,PUE
1,CDMX
1,CDMX
1,CDMX
1,CDMX
10,TOL
8,JAL
1,CDMX
